
---------- Begin Simulation Statistics ----------
system.cpu.statIssuedInstType_0::VectorFloatArith            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatConvert            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIntegerReduce            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatReduce            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorMisc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIntegerExtension            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total        2738786                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         3.728147                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                               74703                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.027276                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                  2328345                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                  845509                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses          805892                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   3925821                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                  1953217                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses          1927084                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      816455                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                      1995176                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
